"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group"
"LHFPL6",3013.49766075696,0.691555133445022,0.0886357407311207,7.80221531112236,6.08297443092191e-15,8.20967587619422e-13,"Stable"
"PRR5L",111.760509676247,1.5403949506548,0.198074461343526,7.7768478591657,7.43539375187316e-15,9.9583193417263e-13,"Up"
"CCN3",435.880448302169,-2.58043375424803,0.331930908123897,-7.7740086599132,7.60405373632727e-15,1.01070547578683e-12,"Down"
"KCTD9",1778.72959668346,0.825899831461086,0.106565671886181,7.7501489630094,9.17848125106172e-15,1.21080040263066e-12,"Stable"
"GALM",528.519818916767,-1.1128655361818,0.143805018272598,-7.73871141320143,1.00429445053411e-14,1.3149512040762e-12,"Stable"
"NCKAP5",107.685332307552,-2.20719755715292,0.285456775480644,-7.73216033648702,1.05736650411138e-14,1.37418483812105e-12,"Down"
"FPGS",1049.36258097144,0.634530289090727,0.0822647884244229,7.71326713705309,1.22637014360473e-14,1.58210765952536e-12,"Stable"
"KCNK6",530.071020027544,2.80697416571896,0.364034830748538,7.71072965723413,1.25100413835764e-14,1.60210712463393e-12,"Up"
"ADRA1B",201.563824370606,3.67892486976733,0.477378863836248,7.70650975244954,1.29305361690507e-14,1.64395838468112e-12,"Up"
"TXNRD1",22735.1629238597,1.54587144310934,0.200961847392239,7.69236281995404,1.44442316078689e-14,1.82319455798604e-12,"Up"
"PER3",196.097002779032,-2.16627453942435,0.282389748447701,-7.67122231360162,1.7036497001595e-14,2.13503814209275e-12,"Down"
"UHMK1",2975.68860507303,0.656621004192732,0.0864194921813135,7.59806598741751,3.00589058074627e-14,3.74030852760237e-12,"Stable"
"AIFM2",594.526350459119,0.706732669319102,0.093675353903647,7.54448891696781,4.54064644568776e-14,5.61025647109801e-12,"Stable"
"MYADM",3784.48200494409,1.4880464545522,0.197327959472408,7.5409813111673,4.66447968274017e-14,5.72295776459275e-12,"Up"
"RTKN2",118.346021947809,-1.9025434999748,0.254366166498326,-7.47954622332731,7.4579677191335e-14,9.08680858556926e-12,"Down"
"ADAMTS2",4464.74534836693,0.69968953088154,0.0936159394655471,7.47404272046047,7.7767875734538e-14,9.4099129638791e-12,"Stable"
"TENT5C",90.0680600035405,-2.46820368203723,0.332170128984944,-7.43054075807371,1.08154602370992e-13,1.29970719082127e-11,"Down"
"SAP30",538.521153759565,1.23066089477487,0.166350721418636,7.39798952646442,1.38261752885642e-13,1.65020575127795e-11,"Stable"
"TSC22D1",5397.68506247974,1.19314295076154,0.162349957612065,7.34920395613874,1.99390744903087e-13,2.36372339143558e-11,"Stable"
"CHST7",453.22770507895,1.54794312466677,0.210748084132561,7.34499262965117,2.05770437596138e-13,2.42298142793574e-11,"Up"
"LDB2",616.999249047456,-1.3198723226529,0.179734511050293,-7.34345516028124,2.08149152691569e-13,2.43465125598238e-11,"Stable"
"LIF",153.17382154763,-2.50898901343981,0.345271684581677,-7.26670945078985,3.68349897670163e-13,4.2799330825318e-11,"Down"
"PCYT2",468.266145998186,1.12131303814339,0.155099054664059,7.22965746356178,4.84213779639771e-13,5.58916497617091e-11,"Stable"
"TIA1",1335.73954736295,-0.506335504633022,0.0700896296086086,-7.22411442977339,5.04377743989288e-13,5.78386112306671e-11,"Stable"
"AGTRAP",751.411711235044,1.10874566568092,0.153686111376684,7.21435174427308,5.41915118404436e-13,6.17396152753625e-11,"Stable"
"CFLAR",2546.75501961373,1.18260309518125,0.164195700568194,7.2023998867747,5.9161879046615e-13,6.69674301853458e-11,"Stable"
"PGBD5",133.19316660352,-2.47664710716914,0.344923723271441,-7.18027476822786,6.95714547825159e-13,7.81398559757714e-11,"Down"
"NUAK1",412.66190711567,1.36466289252604,0.190075428645557,7.17958603197887,6.99228121299294e-13,7.81398559757714e-11,"Stable"
"HMGA2-AS1",209.372263622458,2.31221813624849,0.322307317297418,7.17395483179436,7.28616584063353e-13,8.09087213126046e-11,"Up"
"EOGT",1805.39765497348,1.26317191202027,0.177136439665515,7.1310675228965,9.95934433395547e-13,1.09897293295125e-10,"Stable"
"MMD",1723.07952502896,1.64205683767877,0.230583522352765,7.12131040815059,1.06905717187633e-12,1.17228800503564e-10,"Up"
"KLF6",3242.54950365996,1.10959466682456,0.155965361104725,7.11436602951544,1.12428415180605e-12,1.22519040021349e-10,"Stable"
"PREPL",1200.34094269899,-0.666045561699562,0.0937563004497165,-7.10400856800846,1.21189338081875e-12,1.31251045472006e-10,"Stable"
"ARSK",492.489892963275,0.851629499393413,0.12020530886191,7.08479107500776,1.39254226415052e-12,1.49890515487858e-10,"Stable"
"PRRX1",5567.49607948939,-0.767514571274539,0.108366606861652,-7.0825745448909,1.41500598760666e-12,1.51379756418042e-10,"Stable"
"TMEM26",68.8516301599862,-2.07480091623436,0.294119353803926,-7.05428217966751,1.73493989007381e-12,1.83525827597681e-10,"Down"
"C4orf46",588.373305558345,-1.38769559399519,0.196720049853311,-7.05416450956556,1.73640851417584e-12,1.83525827597681e-10,"Down"
"GLRX",1983.36068946671,0.992962387532446,0.14112025656884,7.03628530499495,1.97432477008354e-12,2.07057730710466e-10,"Stable"
"CIT",288.98392715919,-1.58698138222289,0.22556131973593,-7.03569824862173,1.98265595664624e-12,2.07057730710466e-10,"Down"
"CDV3",4871.03505976212,0.765981288024253,0.10896752600043,7.0294455250937,2.07355888001718e-12,2.15269766567464e-10,"Stable"
"RNF217",819.045985507549,1.0890764713313,0.155151561091857,7.01943611567345,2.22765440999746e-12,2.28562553353248e-10,"Stable"
"OMG",309.400723797873,-1.71158516896032,0.243825771231155,-7.01970575266912,2.22335978957678e-12,2.28562553353248e-10,"Down"
"LAMA2",17177.8138530827,2.06989671831528,0.294954977329896,7.01767007647469,2.25598470004448e-12,2.30123555594654e-10,"Up"
"GORASP1",984.879693331857,0.551048357967965,0.0787451719152609,6.99786849866755,2.59885835796046e-12,2.63566299944603e-10,"Stable"
"ROCK2",4538.671508779,0.811254789977529,0.11597199843303,6.9952643822552,2.64759181334729e-12,2.66965507845852e-10,"Stable"
"PEAK1",7990.9478843129,0.995870941658593,0.142401047739479,6.99342425822966,2.68256715411565e-12,2.68946518394052e-10,"Stable"
"CXCL12",25143.1059860743,-1.95003403736643,0.278909559748695,-6.99163570844781,2.71699630024871e-12,2.70850568681044e-10,"Down"
"SUN2",2236.1365280259,1.91021767010404,0.273307485123954,6.98926218298667,2.76335593565349e-12,2.72562989142486e-10,"Up"
"LMCD1",3659.99233446085,1.59534547576786,0.228259766690851,6.989166329643,2.76524434695711e-12,2.72562989142486e-10,"Up"
"SLC38A2",20598.4304438497,1.23196882555623,0.176321356190996,6.98706527768384,2.80695662283591e-12,2.75128793003665e-10,"Stable"
"FLRT3",178.719136593028,-2.36771602052746,0.339088407015209,-6.98259206608991,2.89782939730264e-12,2.82457870975971e-10,"Down"
"PCDH18",6489.29199315361,-0.899271502052298,0.128823306030785,-6.98065846747791,2.9379975455952e-12,2.84790977555071e-10,"Stable"
"LTBP1",20171.7031467022,0.69287345389635,0.0994127354795137,6.96966490816594,3.17696778373773e-12,3.06263185525706e-10,"Stable"
"BRCA1",221.172451794456,-1.21023359146135,0.173910845985591,-6.95893108105303,3.42864180319693e-12,3.28718690913061e-10,"Stable"
"MAFF",648.36591709544,1.29668812631368,0.187451171993595,6.91747142748187,4.5977607847119e-12,4.38411483520491e-10,"Stable"
"MGAT1",5362.3666931625,0.860500625794075,0.124625791715925,6.90467529992122,5.03183861640746e-12,4.77208694729021e-10,"Stable"
"RGL1",1077.92102318639,-1.07008054847794,0.155481117095537,-6.8823826871556,5.88596332276525e-12,5.55210895150088e-10,"Stable"
"SMARCD2",2178.05874500308,1.27674402782916,0.185696537348149,6.87543260666995,6.18020192747693e-12,5.76687239849101e-10,"Stable"
"NCOA3",1569.98675584032,1.39938282768158,0.203555613446609,6.87469534240397,6.21224783878485e-12,5.76687239849101e-10,"Up"
"AMPH",358.7063183313,1.1491930864902,0.167129605496684,6.87605934971828,6.15308737681085e-12,5.76687239849101e-10,"Stable"
"ZBTB47",3379.58549269466,0.752055736804431,0.10942413687767,6.87285052698368,6.29314982474097e-12,5.81122703553054e-10,"Stable"
"TEX2",3701.73255368228,1.48465665132569,0.216259980637228,6.8651474348191,6.64226164467904e-12,6.10149112858083e-10,"Up"
"ZNF561",603.430635364882,-0.663158591298276,0.0966657680003634,-6.86032506663355,6.87040293654568e-12,6.27818851675489e-10,"Stable"
"EXT1",5291.49906634901,-0.845379482707627,0.123251369293775,-6.85898653744472,6.93507735466453e-12,6.30445244495281e-10,"Stable"
"CCND3",629.345389043535,0.938873826142046,0.137224823877235,6.84186577628248,7.81683143431268e-12,7.06939729458846e-10,"Stable"
"TTC39C",591.693991029881,0.770622058524199,0.112656396999533,6.84046427054996,7.8936934073137e-12,7.10230004263173e-10,"Stable"
"RHOB",3314.46779985722,1.19832175238932,0.175259903123731,6.83739823559823,8.06443350936749e-12,7.21890234295166e-10,"Stable"
"GPR68",54.8304932569895,-2.90203510639076,0.425582271020774,-6.81897556359697,9.16919944956131e-12,8.16617280926666e-10,"Down"
"PTX3",8565.54570566735,2.23763616778454,0.328984801979195,6.80163993692952,1.03434857482917e-11,9.16547764918072e-10,"Up"
"CNIH3",77.7975181037905,-1.51726722899954,0.223159440598769,-6.79902774862893,1.05327531311989e-11,9.28628912999417e-10,"Down"
"SLC25A32",462.687440337964,0.852751562377239,0.125564277416091,6.79135483375909,1.11085326533133e-11,9.7449602701191e-10,"Stable"
"NSMF",1601.83913222317,0.957728728703459,0.141057932994942,6.78961266742652,1.1243499617962e-11,9.81428859687282e-10,"Stable"
"CES2",1198.19724618619,-0.541709211790627,0.0799252980825551,-6.77769398158633,1.22109144580034e-11,1.06059650577064e-09,"Stable"
"NAMPT",2640.45692289837,1.05479283955159,0.15575114590789,6.77229585312576,1.26754595017041e-11,1.09552185693299e-09,"Stable"
"WDR63",89.0888287956256,-1.58549639128655,0.23446442433978,-6.76220452527539,1.35907657375442e-11,1.16887247482948e-09,"Down"
"TCEAL1",395.2994575912,1.03805034745241,0.153635267292393,6.7565889378565,1.41278272270833e-11,1.2091352619472e-09,"Stable"
"FER1L6",243.365935430714,-3.16044173513555,0.469247344594607,-6.73512971685736,1.63783751100667e-11,1.39494461799088e-09,"Down"
"THBS1",90568.2830892327,1.95787979958448,0.290831453391393,6.73200844253121,1.67336929964474e-11,1.41222547586397e-09,"Up"
"SYNPO2",8015.00150832541,1.72213156759769,0.255815277374556,6.73193401610725,1.67422569951385e-11,1.41222547586397e-09,"Up"
